Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,City,State,Car_Description
dzire,2021,8.57,2.92,77206,Petrol,Dealer,Automatic,2,Jenniferhaven,Connecticut,Player to inside perhaps everyone serve.
ritz,2011,16.75,3.06,174556,CNG,Dealer,Automatic,1,Roberthaven,Utah,Unit help arm raise Congress provide for.
dzire,2020,8.45,15.47,65541,Diesel,Individual,Automatic,0,South Alicia,Maine,Same can recently lot.
wagon r,2001,10.4,7.76,138341,CNG,Dealer,Automatic,0,West Matthew,Nebraska,Edge health radio cultural natural.
wagon r,2010,2.79,21.09,162095,Petrol,Dealer,Automatic,2,East Christopherstad,Michigan,Very matter identify buy section huge.
baleno,2007,4.26,11.19,10698,Petrol,Individual,Manual,1,Thompsonside,West Virginia,Run year individual themselves including forget church.
ritz,2016,22.64,31.31,36833,Petrol,Individual,Automatic,0,Port Ronald,New Jersey,Hair start scene bring choice difficult green.
dzire,2000,20.99,22.97,88995,Petrol,Dealer,Manual,2,Perezville,South Carolina,Fact medical leader statement whatever.
swift,2022,15.51,5.65,136839,Petrol,Individual,Manual,0,North Jack,Michigan,Situation yard when he officer kitchen contain fast.
wagon r,2009,10.87,25.1,28891,Diesel,Dealer,Manual,0,Lake Jillfort,Indiana,Minute mean option point thank five what.
ritz,2002,23.75,2.94,7495,Diesel,Individual,Manual,0,New Michaelburgh,Hawaii,Vote church defense cover positive.
dzire,2002,13.99,20.07,52572,Petrol,Individual,Automatic,1,North Brittany,Minnesota,Discuss movie still go civil girl.
dzire,2014,13.39,14.15,29626,Petrol,Individual,Automatic,0,Jilltown,Texas,Six Mrs box dream.
ciaz,2023,7.36,3.29,55638,Diesel,Individual,Automatic,0,Martinezburgh,Nebraska,Toward organization talk kid worry job song.
baleno,2013,9.97,7.21,124845,Diesel,Individual,Automatic,2,Smithtown,Louisiana,Page different chance hair.
vitara brezza,2014,20.44,23.64,142269,CNG,Individual,Automatic,2,South Mark,Missouri,Especially support me memory someone.
sx4,2023,9.34,8.43,113244,Diesel,Dealer,Automatic,2,North Travis,New Hampshire,Every continue position TV who long.
baleno,2015,17.27,16.59,193055,Petrol,Individual,Manual,2,Port Suzanne,Virginia,Example culture expect official here.
ciaz,2007,17.81,18.7,155994,Diesel,Individual,Manual,0,Gregshire,Mississippi,Network animal member place.
ritz,2008,5.29,4.55,165601,Diesel,Individual,Manual,2,Ortizshire,Ohio,Available effort understand available condition bring.
ertiga,2014,10.71,9.55,88840,CNG,Dealer,Manual,1,Lake Matthewland,Virginia,While audience general everything upon so.
ciaz,2017,11.88,31.29,131559,CNG,Dealer,Manual,2,Kathrynfurt,Alaska,Region among newspaper color.
ciaz,2021,19.23,29.94,167088,Diesel,Dealer,Automatic,2,Fletchershire,Oklahoma,Stand movie thank like TV box.
ritz,2022,16.85,34.15,157817,CNG,Individual,Automatic,2,East Jenniferberg,Wisconsin,Suffer account clear former meet.
swift,2008,22.31,8.83,100316,Diesel,Individual,Automatic,0,Aliciaborough,Georgia,Nation meet free.
ritz,2012,16.32,12.81,164696,CNG,Individual,Automatic,2,North Alexis,Georgia,Which player heart method type.
swift,2022,4.77,31.33,169639,Diesel,Dealer,Manual,1,North Ronaldfurt,Arkansas,Health lay man available natural benefit.
s cross,2013,13.57,26.56,81534,Petrol,Dealer,Manual,2,West Francesstad,Maine,Military use name range song bring activity.
dzire,2023,6.46,14.16,179871,Petrol,Dealer,Manual,0,Haleyborough,Iowa,Idea what however state fall.
sx4,2020,12.11,32.41,51855,Petrol,Dealer,Manual,0,Port Courtney,Texas,Require part into nothing save risk ready.
ritz,2017,20.52,8.63,124552,Petrol,Dealer,Manual,1,North Hollytown,Oklahoma,Radio current medical anything.
ertiga,2013,2.16,22.65,66307,CNG,Individual,Automatic,0,Meghanbury,Utah,Item now stop hour true house executive.
s cross,2009,12.86,8.95,191815,CNG,Individual,Manual,0,New Brittany,Florida,Truth wear know crime sit Mr.
ciaz,2009,2.53,20.86,113872,CNG,Dealer,Automatic,1,South Crystalport,Iowa,Seem power us simply science.
vitara brezza,2012,14.29,11.96,189507,Petrol,Dealer,Manual,1,West Rachelmouth,Maryland,Discover improve office wonder.
s cross,2016,2.36,27.9,145401,Petrol,Dealer,Manual,1,South Charlesview,Montana,Light machine him page letter subject.
ertiga,2000,8.15,11.06,164760,Diesel,Dealer,Manual,2,Morganfort,Kansas,Total none many instead.
ritz,2002,20.25,13.99,143597,CNG,Dealer,Manual,2,Lake Amber,New Jersey,News which interest.
sx4,2023,24.62,32.58,30780,Diesel,Dealer,Manual,1,North Sharonview,Oklahoma,Go every visit save go.
vitara brezza,2014,3.76,17.97,21039,Petrol,Dealer,Manual,0,New Paulhaven,Iowa,Safe speech fill place.
swift,2008,8.47,8.26,146703,Petrol,Dealer,Manual,2,Johnside,Alabama,Hotel nor student every thing family own.
vitara brezza,2011,15.14,6.33,162903,Petrol,Individual,Automatic,1,Prattberg,Maine,Page fact trial probably tax.
ciaz,2013,11.65,21.3,48515,Petrol,Dealer,Automatic,0,Tammyville,North Carolina,Material nor rule sit much finish member.
ritz,2001,8.13,26.75,5617,Diesel,Individual,Manual,2,Michelletown,Utah,Never key detail tax finally scene line.
ritz,2003,5.3,15.47,31111,Diesel,Dealer,Automatic,2,Garzaborough,Montana,Add response chance note.
s cross,2017,18.53,21.9,112146,Petrol,Dealer,Manual,1,Lake Emmafurt,New York,Price power little just job.
ertiga,2019,5.15,17.99,160136,Diesel,Dealer,Automatic,0,Port Jamieview,Florida,Key voice war standard hard power pick.
vitara brezza,2010,2.87,17.65,57631,Diesel,Dealer,Automatic,0,New Christine,Delaware,Recognize if clearly green difficult exist.
alto 800,2002,14.66,21.62,192195,Diesel,Dealer,Automatic,1,Curtisshire,Alaska,Increase decide property role.
ertiga,2003,3.21,10.85,136107,Petrol,Individual,Manual,0,North Connortown,Alabama,Bad most knowledge single serve others.
ritz,2011,24.3,4.38,137174,Petrol,Dealer,Manual,1,Port Brandon,Utah,Green pretty room total.
ritz,2006,11.93,19.87,76772,Diesel,Dealer,Manual,1,Michaelborough,West Virginia,Hope degree stay.
wagon r,2016,23.75,30.79,46879,Diesel,Individual,Automatic,2,New Anthony,Georgia,Up plant yes born.
s cross,2016,12.46,3.1,100523,Petrol,Dealer,Automatic,0,Port Edwin,Connecticut,Not face buy.
dzire,2013,23.61,14.5,79817,Petrol,Individual,Manual,2,South Geraldport,California,Customer live sense Congress.
vitara brezza,2012,20.23,6.67,74167,Petrol,Dealer,Manual,2,Vanessamouth,Michigan,Lawyer present among party own behavior attack.
wagon r,2013,18.87,33.65,127384,CNG,Dealer,Automatic,0,Jessicatown,Ohio,Kid middle two study card.
sx4,2013,5.23,26.27,153769,Petrol,Dealer,Automatic,0,Port Susan,Virginia,Company join wrong require hundred.
ciaz,2016,15.4,24.24,119168,CNG,Dealer,Manual,0,Wilsonfurt,Michigan,Model media series site hard mission.
ritz,2001,15.68,7.4,59512,Petrol,Individual,Automatic,0,South Jeffreytown,New Mexico,Out scene word fish account.
ritz,2009,20.47,4.6,129883,Petrol,Dealer,Manual,0,Mathewsmouth,Rhode Island,Thousand together too two investment center radio.
ritz,2019,21.73,15.37,159037,CNG,Individual,Manual,1,Lopezton,Colorado,Him outside minute history tough position report.
swift,2020,23.48,7.5,29469,CNG,Dealer,Automatic,2,Lake Danielville,Massachusetts,Wonder themselves maintain team we per budget.
ciaz,2010,19.43,7.61,33967,Petrol,Individual,Manual,1,Thomaston,Connecticut,Hit read conference himself save also daughter.
sx4,2014,9.06,33.23,46778,CNG,Individual,Automatic,0,Littlefort,Montana,Teach deep exactly some spend success.
swift,2000,24.25,19.31,119883,Petrol,Dealer,Manual,2,North Stacyberg,Oregon,Firm sing media mission difference.
ritz,2005,3.51,25.44,185131,Diesel,Individual,Automatic,2,Richardberg,Georgia,Account contain artist go city end dinner.
baleno,2021,19.77,16.08,37184,Petrol,Dealer,Automatic,0,Deborahton,New Jersey,Important without fill.
vitara brezza,2003,2.3,9.1,52615,Diesel,Individual,Automatic,0,Villanuevachester,Wisconsin,Table institution father Republican move enter.
vitara brezza,2017,9.36,33.96,197382,CNG,Individual,Manual,1,North Michaelfurt,Colorado,Style goal hear recognize.
ciaz,2010,24.84,2.89,78055,Petrol,Individual,Automatic,2,South Ashleyborough,Indiana,Born purpose event day environmental.
wagon r,2016,8.97,17.44,159440,Diesel,Individual,Automatic,1,East Tiffany,Alaska,Debate so under pay machine else.
swift,2001,18.67,26.64,139660,CNG,Dealer,Manual,0,New Jonathanberg,California,Relate growth manager only call wonder edge.
ritz,2021,15.33,16.31,177339,Diesel,Dealer,Manual,2,Jennifermouth,New Hampshire,War Democrat cup whose through gun century.
dzire,2010,10.47,25.87,12466,CNG,Dealer,Automatic,1,Kentberg,Tennessee,Specific should figure radio speak inside reveal.
baleno,2010,21.87,6.1,130430,CNG,Dealer,Automatic,1,Lisaland,Indiana,Large already above seek Congress establish operation.
ertiga,2022,7.47,18.91,96104,CNG,Dealer,Automatic,1,Seanhaven,Oregon,Hold set if help never send wish.
wagon r,2007,4.43,27.34,51345,Diesel,Dealer,Automatic,1,New Calebtown,Rhode Island,Hold my shake professional mother wall fact.
wagon r,2000,20.91,33.87,42117,CNG,Dealer,Manual,2,Brandonmouth,Texas,Without single he while loss rise.
dzire,2001,6.91,15.32,183139,Diesel,Individual,Manual,1,Burgessville,Colorado,Similar million look.
baleno,2006,11.0,28.04,84100,Petrol,Dealer,Automatic,1,Rodrigueztown,Alabama,House call spend accept various sell.
baleno,2000,16.97,10.91,19427,Diesel,Individual,Automatic,1,Phillipsland,Pennsylvania,Operation task analysis someone.
wagon r,2007,8.36,28.12,195416,Diesel,Individual,Automatic,0,Lake Morganhaven,Indiana,From range nothing remain knowledge.
alto 800,2004,23.44,10.93,80716,Diesel,Dealer,Automatic,2,Wigginsside,Maine,End morning night billion want position.
baleno,2013,3.42,3.54,115800,Petrol,Dealer,Automatic,2,Erinmouth,Arizona,Of account might development girl church.
sx4,2021,9.58,26.19,126465,CNG,Dealer,Manual,0,Mathisland,Oregon,Administration focus people peace power key.
alto 800,2009,4.29,4.09,111548,CNG,Individual,Automatic,2,South Alexander,Nebraska,Use low late food firm establish similar.
dzire,2023,4.95,31.96,66864,CNG,Individual,Automatic,2,Lake Williammouth,Washington,Institution both ago else.
wagon r,2022,4.71,14.81,40390,Petrol,Dealer,Manual,2,New Richardmouth,Nevada,Wear behind nature project.
ritz,2012,20.44,11.03,127059,Petrol,Individual,Automatic,1,East Wandamouth,Idaho,Unit picture pull since.
sx4,2020,17.96,5.59,148477,CNG,Dealer,Automatic,1,Debraport,South Dakota,Traditional choice response establish memory.
baleno,2011,21.54,26.12,56397,Petrol,Dealer,Manual,2,Port Michelle,Massachusetts,Investment window laugh despite number.
baleno,2021,6.96,32.95,31842,CNG,Dealer,Manual,2,Smithbury,Nebraska,Tax at successful month traditional understand finally.
ciaz,2011,5.25,23.67,53039,Diesel,Individual,Automatic,2,South Laurachester,Tennessee,Her social from cost.
ciaz,2017,10.91,9.17,105129,CNG,Individual,Automatic,2,Wandaland,New Mexico,Often food research newspaper street wrong.
ertiga,2002,19.64,14.47,73139,CNG,Individual,Manual,1,Tylerhaven,Oklahoma,Everything you collection person else right.
ertiga,2010,24.4,11.55,134422,CNG,Dealer,Manual,0,Clarkland,Alaska,We western spend.
dzire,2015,12.14,24.37,146616,Diesel,Individual,Manual,2,Lake Jessicaberg,Arkansas,Suggest pull wish together remain point before.
ritz,2000,1.19,25.94,67194,CNG,Dealer,Automatic,1,North Jamesberg,Maryland,My recognize poor board late.
dzire,2001,21.77,24.98,184226,Diesel,Individual,Automatic,1,North Alyssatown,West Virginia,High since without foot a drug tough add.
swift,2019,12.15,33.23,30814,CNG,Individual,Automatic,0,Williamside,North Carolina,Mean page war treat particular image.
vitara brezza,2016,2.71,9.43,87273,Diesel,Dealer,Automatic,2,Patrickshire,Tennessee,Language window part amount.
alto 800,2008,16.44,12.56,90844,CNG,Individual,Manual,0,Johnsonton,North Carolina,Recognize child cause.
sx4,2020,22.75,7.73,102271,CNG,Dealer,Manual,0,Newtonmouth,Utah,Do beautiful protect individual likely watch.
swift,2001,24.76,13.88,183475,Petrol,Dealer,Manual,2,Lake Jamesfurt,Kansas,Song citizen tree coach.
ertiga,2018,16.72,31.84,85770,Petrol,Dealer,Automatic,0,East Emily,Florida,However knowledge everyone past common event.
vitara brezza,2000,12.12,19.33,121053,Petrol,Dealer,Manual,2,Katiebury,Oregon,Discussion back society.
baleno,2017,17.77,34.32,27329,Diesel,Dealer,Manual,1,Port Sherifort,Wisconsin,In century think ask card.
sx4,2001,7.57,4.83,48715,CNG,Individual,Manual,1,West Vanessa,Maine,Simple assume tend who trial will.
s cross,2008,11.59,29.54,196026,Petrol,Individual,Automatic,1,Laurenfurt,North Dakota,Wonder resource know onto.
dzire,2003,20.63,25.22,22272,Diesel,Dealer,Automatic,2,Christinamouth,Virginia,Western bar begin.
ciaz,2019,24.13,23.01,17038,CNG,Individual,Automatic,1,New Robertberg,Wisconsin,Certainly now community range wrong.
wagon r,2016,5.44,5.64,7080,Diesel,Individual,Manual,1,Lake Jasmineborough,Idaho,Quickly like herself budget.
s cross,2012,4.28,33.77,146779,Diesel,Individual,Manual,2,East Audrey,North Dakota,Vote wife energy boy nor.
vitara brezza,2020,19.58,19.74,56594,Petrol,Individual,Automatic,2,New Nancy,Michigan,Capital whatever win share.
baleno,2010,5.17,2.33,76703,Petrol,Individual,Manual,0,New Toni,Missouri,Into build author thing usually.
ritz,2012,16.85,26.55,41035,Petrol,Dealer,Manual,1,Lake Johnny,Missouri,Race turn most.
ciaz,2002,14.96,33.67,45648,Petrol,Dealer,Manual,2,South Alexanderborough,West Virginia,Write wish product pressure letter.
s cross,2012,17.44,31.25,32873,Diesel,Individual,Automatic,1,Lake Joshua,Maryland,Single still bring conference.
s cross,2019,23.31,5.74,120383,CNG,Dealer,Manual,1,South Jeremy,Michigan,Exactly discuss money.
ertiga,2021,3.43,3.14,189568,Petrol,Individual,Automatic,0,Spencestad,Wisconsin,Example hour week.
alto 800,2010,19.16,7.65,135570,Petrol,Individual,Automatic,1,Grossburgh,Kansas,Commercial lose issue time federal number forget air.
dzire,2016,4.74,10.81,38615,Petrol,Dealer,Manual,2,New John,Idaho,Foreign create east billion well.
wagon r,2014,13.22,20.34,101512,CNG,Dealer,Manual,1,South Justinview,Arizona,Race dinner scene feel effect.
swift,2002,12.74,31.77,54782,Petrol,Dealer,Manual,1,Lake Traceytown,Rhode Island,Ask send produce my.
baleno,2005,24.46,12.85,198859,Diesel,Individual,Automatic,1,East Calvin,Wisconsin,Word firm where short question necessary operation trial.
dzire,2013,18.89,23.49,63987,Petrol,Individual,Manual,2,Lake Theresa,Montana,Onto other check outside on half.
ertiga,2023,3.44,25.11,54210,Diesel,Individual,Automatic,0,West Carlosfort,Illinois,Big least indeed just fly.
s cross,2010,15.99,4.11,179270,Diesel,Dealer,Manual,2,Jessicaport,Colorado,Of challenge owner approach third strong best.
ciaz,2022,13.95,20.87,139608,CNG,Individual,Manual,0,Huangside,Nebraska,Control future bag process wind.
ciaz,2009,14.68,21.37,179703,Diesel,Dealer,Manual,0,North Stephenborough,Illinois,Talk network ability west answer.
vitara brezza,2014,19.4,2.15,61952,Petrol,Dealer,Manual,1,Port James,Alabama,How center help.
baleno,2013,14.95,16.97,38434,Petrol,Dealer,Automatic,1,Heatherside,Missouri,Teacher not claim large.
baleno,2011,15.81,25.9,144226,Diesel,Dealer,Manual,1,Port Alvin,Washington,Week support experience face plan heart line describe.
ertiga,2017,11.56,31.13,142087,Diesel,Individual,Manual,2,Haysberg,Alaska,Chance maintain face sure skill.
baleno,2000,15.79,7.87,134750,Petrol,Individual,Manual,1,Lake Michael,Nevada,Science job point campaign from four.
ciaz,2001,2.6,18.17,24153,Petrol,Dealer,Automatic,2,Lake Michelletown,Kansas,Care cut manage big.
dzire,2009,11.02,32.65,74559,Diesel,Individual,Manual,2,Wendyview,Missouri,Individual instead property record white old nature.
ciaz,2014,22.48,25.55,180405,Petrol,Dealer,Manual,2,Evelynbury,Maryland,Nor your stage huge.
s cross,2010,17.79,24.71,36992,CNG,Dealer,Automatic,0,South Edgarfurt,Nebraska,Half better minute research recently.
ritz,2008,2.01,25.86,167341,CNG,Individual,Manual,0,Jacobshire,Nebraska,Product well perform gas citizen improve consumer.
vitara brezza,2004,20.0,9.54,145076,Diesel,Dealer,Manual,2,Lanestad,Alabama,Person foot gun improve continue data whole.
ertiga,2012,17.83,28.3,178279,Diesel,Individual,Manual,0,New Todd,New York,Quite safe including accept.
dzire,2021,18.54,5.73,179141,Diesel,Individual,Manual,1,Crystalmouth,Maine,Way stage cut a total power provide.
ciaz,2004,12.67,21.95,9085,Diesel,Individual,Manual,0,Coreyton,Colorado,Husband must scene manage charge with.
wagon r,2006,22.65,20.24,66182,Diesel,Dealer,Manual,0,Hollyfort,Maryland,Send the before campaign ever family past put.
dzire,2021,9.72,28.45,31619,Diesel,Individual,Manual,2,Cowanmouth,Kansas,Indeed leave decision yourself more air.
ciaz,2001,20.3,16.49,89752,Diesel,Dealer,Manual,1,Danview,Georgia,Establish stop it thus month.
swift,2003,18.75,4.21,112110,Diesel,Dealer,Manual,1,Lake Jason,South Dakota,Ability thousand he hard contain shoulder reduce.
ritz,2000,5.62,15.09,164508,Diesel,Individual,Automatic,0,South Tina,Virginia,Possible project fear foreign car.
s cross,2007,6.96,22.85,101699,CNG,Individual,Manual,1,New Tracytown,Colorado,Six upon people but assume be bank.
ciaz,2005,3.48,5.48,126518,CNG,Dealer,Manual,0,Gouldshire,Ohio,Surface some production condition appear middle generation policy.
wagon r,2023,21.96,7.62,79261,CNG,Dealer,Manual,2,Manningmouth,Ohio,Hotel picture their black practice realize.
swift,2010,12.83,18.95,120543,CNG,Individual,Automatic,0,West Jessicamouth,Louisiana,Do study difference.
dzire,2009,20.95,10.04,1353,Petrol,Individual,Manual,0,Butlerton,Tennessee,Training rise both executive environmental speak stay.
baleno,2007,18.63,32.11,101968,Diesel,Dealer,Manual,0,Vargasside,New Jersey,Much oil across send six.
dzire,2023,6.53,8.79,99355,Petrol,Individual,Automatic,2,Stoutport,South Carolina,Same oil modern wrong speak.
ertiga,2017,11.75,27.43,140377,CNG,Dealer,Automatic,1,Nancyborough,Minnesota,Front threat friend room nor.
s cross,2019,8.32,9.57,150486,Petrol,Individual,Manual,1,Smithfurt,North Carolina,Prepare message into however nation person what.
alto 800,2012,6.7,14.1,181256,Petrol,Dealer,Manual,1,Port Amanda,Kansas,Catch treat among something fact purpose.
dzire,2022,7.59,21.02,177066,Petrol,Dealer,Automatic,1,New Lisa,Kentucky,Several worker happy population.
vitara brezza,2010,16.53,30.01,195892,Petrol,Dealer,Manual,1,Lake Patriciaport,Florida,Front officer behavior.
s cross,2012,24.65,3.49,8774,Petrol,Dealer,Automatic,2,Huynhstad,Idaho,Two knowledge coach customer down door member begin.
vitara brezza,2006,11.0,30.4,155224,CNG,Individual,Manual,0,Cherylstad,Kentucky,Simply catch chance sea such raise require.
baleno,2006,3.98,21.8,159882,CNG,Individual,Manual,2,Lake Tina,Virginia,They property campaign right care pick clearly million.
ciaz,2000,17.3,16.32,183295,Petrol,Dealer,Manual,1,South Stephanieshire,Missouri,The media a capital read.
ertiga,2017,11.49,32.97,111030,CNG,Dealer,Manual,0,Thomasfort,Colorado,Remember some may huge test.
alto 800,2013,23.88,23.84,28079,Diesel,Dealer,Automatic,2,South Michelletown,Idaho,Consumer truth popular result ever interest coach soldier.
ciaz,2015,9.6,2.18,26160,CNG,Individual,Automatic,2,Hernandezmouth,North Carolina,Argue expect politics dinner project exist.
vitara brezza,2015,24.56,30.71,125813,Petrol,Individual,Manual,1,East Keith,Maine,Help policy conference language.
wagon r,2014,14.23,19.65,110991,CNG,Dealer,Automatic,2,West Heatherstad,Hawaii,Team thought someone hospital successful party herself laugh.
swift,2020,10.07,32.16,123913,Petrol,Individual,Manual,0,West Ryan,Connecticut,Open civil agency far rule.
ertiga,2019,12.14,15.56,118395,Petrol,Dealer,Manual,1,Port Nathan,New Mexico,Among necessary month.
dzire,2011,6.33,11.09,13938,Diesel,Individual,Manual,2,Stephaniefurt,Louisiana,Dog exactly community almost professor market moment add.
ertiga,2001,1.61,13.52,169714,Diesel,Individual,Manual,1,Jefferychester,Indiana,Decade me different.
ritz,2009,10.02,22.06,186963,CNG,Dealer,Manual,2,Gomezview,Arkansas,Fight for whole stop traditional good.
ertiga,2020,7.1,23.9,11973,Petrol,Dealer,Automatic,2,Sullivanshire,Louisiana,Remain good single rule right grow ready use.
sx4,2015,23.04,11.8,41132,Petrol,Dealer,Manual,0,Andreaville,Virginia,Here effect bed may no.
ritz,2023,16.54,8.66,5146,Petrol,Individual,Manual,1,Masseyburgh,North Dakota,Technology truth argue physical.
baleno,2008,24.66,15.78,195453,Petrol,Individual,Automatic,0,Smithmouth,Hawaii,Anything religious back story.
alto 800,2010,18.47,17.48,83374,Diesel,Dealer,Manual,1,South Jennifer,Wisconsin,Program southern simple around show born chair.
swift,2012,4.67,23.76,43155,Diesel,Dealer,Automatic,1,Kevinhaven,Alabama,Degree information mouth save number ten.
swift,2011,6.13,11.66,183040,Diesel,Individual,Manual,0,Cochranchester,Arizona,Sit soon grow indeed while market though.
dzire,2022,22.08,7.98,150187,Petrol,Dealer,Manual,1,Nicholasport,Hawaii,Base friend true.
alto 800,2004,7.38,28.37,131633,Diesel,Individual,Automatic,2,Paulachester,Kansas,Wrong dog house out money long friend.
ciaz,2008,4.03,28.07,194264,Diesel,Dealer,Automatic,0,East Randallbury,Idaho,Beyond here choice hand night moment.
vitara brezza,2016,24.72,16.79,106052,CNG,Dealer,Manual,0,Colemanville,Arkansas,Size first to executive believe.
vitara brezza,2018,1.56,15.03,52208,Diesel,Dealer,Automatic,2,North Jasonshire,Connecticut,Wait investment everything.
swift,2007,19.03,10.93,96463,Diesel,Individual,Automatic,0,Odonnellstad,Montana,Health maintain discuss brother.
sx4,2017,14.59,2.0,148977,Diesel,Dealer,Manual,0,North Stacyberg,New York,Well upon smile which sound expert safe.
sx4,2023,5.52,6.32,62101,Petrol,Dealer,Automatic,2,North Matthew,Utah,They enjoy rise style college.
ciaz,2019,14.9,34.39,1290,Petrol,Individual,Manual,0,Lake Terryfort,Florida,Hotel western key while ok.
s cross,2011,4.99,4.87,42857,Petrol,Individual,Automatic,1,Port Kevin,Tennessee,Process movement through.
s cross,2023,5.28,31.42,117033,Diesel,Individual,Automatic,1,North Davidfurt,Arizona,Republican second mean old opportunity.
baleno,2005,22.12,27.86,115551,CNG,Dealer,Manual,0,Rayhaven,North Carolina,She purpose book that network stay likely.
ritz,2017,3.69,32.07,158175,Petrol,Individual,Manual,0,Port Andreastad,Oregon,Modern than job this company apply.
vitara brezza,2015,20.56,2.93,49390,CNG,Dealer,Automatic,0,Lake Tammystad,Illinois,Culture make only evening draw.
s cross,2005,23.22,24.75,129760,Petrol,Dealer,Automatic,1,New Madeline,Rhode Island,Campaign cost series there successful.
alto 800,2019,1.77,34.93,28146,Diesel,Dealer,Manual,1,South Timothy,Rhode Island,Line term ball cold even particularly.
sx4,2011,12.53,27.01,44070,Petrol,Individual,Automatic,2,East Andre,Georgia,Ahead majority senior three.
swift,2009,9.62,34.99,178492,Petrol,Individual,Manual,0,Arnoldland,Maine,Occur make popular however.
alto 800,2005,16.67,4.91,37783,CNG,Dealer,Automatic,1,Grahamtown,New Hampshire,Fund prepare find clearly reduce stand.
ertiga,2001,15.13,20.27,19709,Diesel,Individual,Manual,2,Garyhaven,California,Property ability lawyer law take.
ciaz,2022,12.56,17.39,170202,Petrol,Dealer,Manual,2,East Frank,New Mexico,Base place letter mention.
ritz,2006,15.07,2.81,65040,Petrol,Dealer,Manual,2,New Jasmin,Colorado,Rock ground discuss author everyone should stand.
ciaz,2002,22.85,26.69,107868,Petrol,Dealer,Automatic,0,Moranshire,Georgia,Your however executive yeah.
wagon r,2003,24.64,8.17,92869,Diesel,Individual,Manual,0,Angelafort,Virginia,Late find stand movement medical.
ertiga,2000,2.29,8.74,161715,CNG,Individual,Manual,0,Denisechester,Idaho,Rather care up risk top budget various.
baleno,2005,17.97,13.05,23597,Diesel,Individual,Automatic,0,Lake Tabitha,Idaho,Form rich city list.
wagon r,2019,16.67,9.15,171950,Petrol,Dealer,Automatic,0,Annettehaven,Rhode Island,Cause she democratic raise.
dzire,2003,20.59,23.15,80063,CNG,Individual,Automatic,2,North Davidview,Connecticut,Explain just keep.
wagon r,2014,13.0,21.03,62175,Petrol,Individual,Manual,0,South Mariaburgh,Texas,Offer product fear attention already instead.
swift,2013,9.97,12.83,74236,CNG,Dealer,Automatic,1,Brianaburgh,Vermont,Picture opportunity often.
baleno,2015,9.18,11.37,177652,CNG,Individual,Manual,2,Lake Elizabethton,Maine,Themselves pull think program information see throughout.
ciaz,2016,12.39,17.44,33629,Diesel,Dealer,Manual,0,Lake Dannyburgh,Ohio,City future we despite.
alto 800,2022,8.66,12.0,54153,Diesel,Individual,Manual,1,New Elizabeth,Tennessee,House would cell as fine town.
ritz,2023,11.05,5.98,66350,CNG,Individual,Manual,0,New Nicholas,Maryland,Sell actually special life including.
baleno,2021,3.4,20.72,156996,Diesel,Dealer,Automatic,2,West Meghan,New Mexico,Ask someone suffer not leave director cause enter.
swift,2017,9.93,16.15,58295,Petrol,Dealer,Manual,0,West William,Idaho,Marriage western budget while new responsibility water administration.
dzire,2003,9.23,33.51,103045,Petrol,Dealer,Manual,1,Debbieville,Alaska,Hundred many after water.
sx4,2010,2.75,22.94,10506,Diesel,Dealer,Automatic,1,North Amanda,Georgia,Account group such painting person writer up.
vitara brezza,2016,12.37,20.69,21665,Petrol,Dealer,Manual,0,North Brad,New Mexico,Authority property happen similar.
ciaz,2006,15.51,21.11,41662,Diesel,Individual,Automatic,0,Lake Damonhaven,Washington,Guess offer now let leave.
ertiga,2004,1.57,23.23,130661,CNG,Dealer,Automatic,1,Kimberlyville,Montana,Outside moment put course.
baleno,2001,23.3,30.83,150296,Petrol,Dealer,Manual,2,Kimberlyberg,Texas,Far color thank next always.
sx4,2014,13.9,10.51,81535,Petrol,Dealer,Manual,1,Lake Katherinemouth,Minnesota,Cold firm would provide home later.
ciaz,2001,2.11,2.64,135253,Diesel,Individual,Automatic,1,New Kayla,Michigan,Top operation car.
swift,2011,22.06,20.5,125263,CNG,Individual,Automatic,0,Brendabury,Maine,Piece realize two site pull them bar.
ciaz,2022,24.32,18.73,63435,Diesel,Dealer,Manual,0,Warrentown,Maryland,Raise officer return source.
ertiga,2015,15.62,22.1,198122,CNG,Dealer,Automatic,2,Garciabury,Mississippi,Million any argue myself sound.
baleno,2021,21.1,30.52,37751,Diesel,Individual,Automatic,2,Kingport,Kansas,Team wife blue discussion.
alto 800,2017,6.94,21.47,124936,CNG,Individual,Manual,1,Ericahaven,Illinois,Popular trouble every trade amount suggest.
dzire,2018,15.45,34.05,190756,CNG,Dealer,Automatic,0,West Robertton,Montana,Serious indicate game friend time economy.
ertiga,2005,17.22,13.57,41891,Petrol,Dealer,Automatic,2,Stephensonfort,Georgia,Benefit various read.
dzire,2010,19.89,15.46,54300,CNG,Dealer,Automatic,2,Greenberg,Delaware,Focus than president rather newspaper.
swift,2023,11.6,5.86,190743,Petrol,Dealer,Automatic,0,Shepherdview,Alabama,Responsibility sea soon message stop bed minute.
ertiga,2007,2.88,33.87,99932,Diesel,Individual,Automatic,2,Lake Andrewberg,California,Tend speech best always nature far rise rest.
s cross,2018,10.14,20.26,123399,CNG,Dealer,Automatic,1,Lake Lisa,Ohio,Sometimes painting long director family such really time.
